199308,9,13,3,3716,0,834,2188
201109,6,20,4,6193,1,68,1338
199704,6,5,1,9621,1,838,423
201502,5,8,3,9716,1,250,9932
201001,8,1,1,4491,0,102,8847
200602,8,16,5,3368,1,942,2078
201205,2,10,4,0910,1,396,7754
200710,3,19,2,7112,1,199,9609
200206,8,20,1,2779,0,760,4055
200502,6,4,2,3548,0,814,2898
199008,10,10,4,3203,0,493,295
200408,5,15,3,7219,1,287,7680
199409,6,13,1,5779,1,251,9424
202003,5,1,2,3806,1,943,7536
200901,3,9,4,3791,1,714,5334
201501,4,4,5,8239,0,96,8437
200506,1,17,2,2968,1,631,8634
200207,5,8,1,1690,0,144,6513
201112,1,19,3,4686,1,736,1672
201411,10,1,2,9876,1,199,1883
201401,6,5,2,4040,0,645,3972
200612,4,8,3,0477,1,125,6090
201902,10,8,2,2853,1,520,1674
199312,10,19,2,0352,1,871,9337
200411,9,14,2,8194,0,288,3583
198905,1,16,3,2320,0,218,8875
199201,3,4,5,0530,0,332,6263
200911,2,4,5,2307,1,967,9763
199905,5,13,1,9285,0,728,9101
199406,10,20,4,2652,1,106,4595
198805,6,16,2,0063,1,141,7304
200307,10,6,5,9962,1,154,651
201707,2,6,4,3475,0,171,184
199508,7,3,3,9583,0,7,8109
199307,6,18,3,6123,1,338,5067
200707,10,11,4,0423,0,49,444
199002,10,18,4,6457,1,517,7489
199310,8,19,1,3203,0,555,3290
199303,5,7,5,8163,0,587,7366
199609,5,14,3,7986,0,932,980
201108,6,18,5,2098,1,838,1748
201204,9,14,1,3566,0,614,8738
201003,8,19,5,6134,1,143,746
200504,5,12,1,4004,0,3,901
200507,7,9,2,5066,0,372,8121
200701,7,4,1,8362,1,254,6116
200203,8,12,2,4233,1,521,1228
199907,8,3,2,4119,1,774,1095
201805,4,11,4,2625,0,153,3701
201403,3,3,2,8778,0,638,2142
201607,9,9,3,9053,0,464,5191
199505,5,2,1,5484,1,223,3015
201602,2,3,1,3460,0,2,9777
199902,1,6,5,7382,0,185,6704
200109,7,2,3,6550,0,458,8200
199206,4,9,5,5384,0,962,8410
199309,5,1,5,6705,0,561,2707
199205,4,18,3,6381,0,737,8298
201502,6,3,4,0529,0,21,2381
200509,9,5,3,6211,1,638,3158
200908,8,7,2,7327,1,905,6670
201712,7,17,4,1493,1,39,9552
200103,1,2,5,4094,1,747,9168
201403,7,13,5,7365,0,995,3480
201307,1,16,3,1335,0,825,4414
201908,6,8,4,3083,0,121,8830
201609,2,2,1,6314,1,203,5612
200307,7,1,4,9410,0,894,6789
199711,5,19,2,8922,0,847,4845
199312,2,2,4,2716,0,469,9382
201105,3,16,4,5107,0,431,2775
201902,5,15,3,9785,1,260,1030
199208,9,17,1,4810,1,527,957
198806,4,13,3,7608,1,485,9163
199805,6,2,1,8550,1,954,5999
199905,7,5,3,7010,1,691,9643
200602,5,6,2,8270,0,366,9868
201207,10,6,2,4380,0,148,3887
201009,3,11,5,7926,0,600,5746
200307,7,3,2,9691,1,704,8330
201011,6,8,3,8824,1,814,6069
199401,1,18,2,4348,0,297,8716
201606,3,18,1,7877,1,707,7874
199604,6,8,2,5763,0,416,4776
201504,10,1,3,2163,0,879,4554
200805,10,12,4,2617,0,311,5327
200801,5,1,1,5011,0,518,2607
200201,5,2,3,4053,1,270,1212
202002,8,12,2,3010,0,187,565
202010,9,6,2,6911,1,573,2383
199312,9,9,2,3434,1,808,396
201702,4,20,2,6373,1,833,161
201111,10,5,2,5647,0,253,1322
201102,7,14,5,8699,1,746,3269
200310,5,13,5,9039,0,829,7956
199009,5,2,2,3625,0,346,1117
201401,3,7,3,6992,0,445,8922
198806,7,13,5,7961,0,327,3878
200310,4,2,1,2189,1,284,6734
200903,5,2,5,8458,1,634,1951
198806,4,11,4,6078,1,842,9799
200802,5,8,5,2718,0,851,3299
199210,9,7,4,0756,1,244,5075
200108,10,18,1,4845,1,463,3669
201510,3,4,5,8148,0,829,3670
201102,3,9,4,4840,0,662,8402
199612,4,10,2,1573,0,617,1640
200301,10,3,4,0784,1,323,2762
199004,5,17,1,6379,0,236,1042
200012,8,17,2,7964,1,514,3471
200506,6,15,3,4972,0,686,9000
200706,3,17,1,3649,1,629,5404
201809,6,17,1,7076,1,420,3672
199707,6,15,2,1240,1,147,4065
201609,1,13,1,0274,0,7,1957
201609,9,4,1,3339,1,458,1633
199505,3,3,3,3364,0,578,6805
199108,3,16,4,6744,1,155,6022
201905,5,4,3,0330,1,247,7611
200206,5,1,5,6200,0,180,7665
200709,1,15,4,8706,0,549,4942
199906,10,4,3,1394,0,733,1862
201206,5,16,1,3275,1,549,9868
199301,1,11,4,1468,1,921,7608
200602,3,4,5,7755,0,914,917
198811,8,14,2,8888,0,170,4439
201304,10,18,2,4371,1,220,1195
199004,3,9,5,3744,0,908,9256
200808,3,12,3,5897,1,761,3348
201912,8,4,5,2086,1,707,7254
200904,1,1,2,5032,0,813,8167
199510,1,15,3,8699,1,780,4065
200407,1,6,5,0955,1,677,5227
199504,3,17,3,6656,1,203,6387
201709,5,2,1,3115,0,401,5419
199701,7,9,4,7256,0,306,1616
200402,9,13,2,0670,0,653,5988
201606,3,18,1,0960,1,303,9438
198812,5,3,3,5727,0,481,9039
201202,4,19,1,0814,0,781,2043
199406,4,16,4,9463,0,324,6837
200009,4,10,4,8219,0,666,7589
199401,7,5,2,1571,1,848,27
201408,7,19,2,7574,1,687,4342
201211,5,17,1,9198,1,948,3453
199412,5,17,1,4415,1,736,5361
201312,4,10,5,3674,1,263,7406
199108,2,18,5,3946,0,136,5607
200712,1,5,2,4902,0,684,4552
199712,3,19,2,8143,0,459,4386
200910,5,6,4,3480,1,232,6440
201403,2,11,2,9295,0,450,6546
200205,10,11,4,2400,1,755,6582
200409,7,2,5,2115,1,372,2660
199703,4,20,4,4431,1,547,3583
202012,8,10,4,2258,1,770,9948
200110,8,17,4,5965,1,979,1484
201911,5,19,3,8370,1,149,6677
201204,1,6,5,2539,0,559,8429
199102,6,2,1,9143,1,149,533
199911,1,3,1,1079,0,187,7381
200201,1,19,1,3166,1,305,2788
201401,1,10,5,3961,0,421,2309
200712,6,12,4,1739,1,109,558
200810,3,1,2,3579,0,883,349
201302,6,5,5,2804,1,241,6445
202002,4,20,4,4861,1,723,8700
200803,8,12,1,2892,1,628,9337
201509,5,8,1,0197,0,696,3932
200703,1,20,3,4124,0,934,4222
201811,9,12,2,0660,0,460,7097
201304,9,4,1,4370,1,528,8994
200301,9,2,4,5187,1,556,6090
199207,8,19,3,9062,0,697,8090
199507,9,10,4,0970,1,133,1200
199502,1,7,5,7526,1,74,2053
199604,1,8,4,8374,1,429,1646
202005,8,10,3,7650,1,15,32
200303,7,9,3,0850,1,666,1492
201509,7,18,3,3690,0,760,9988
200211,4,7,5,0926,0,121,8131
199409,9,4,5,1952,1,658,6608
202005,3,1,5,8142,0,533,7176
199005,10,10,4,8581,0,532,1581
200801,6,14,4,5577,1,815,4463
200211,10,11,4,4946,1,605,7912
199401,1,3,2,7237,1,765,4740
199008,3,11,2,6875,0,462,957
200704,1,8,5,7093,1,189,2538
200502,3,7,2,9497,1,304,3254
200708,7,6,5,5770,1,926,4346
199107,6,5,4,7882,0,540,924
201112,8,9,2,2815,0,762,9921
200706,1,11,4,0002,0,324,7298
201010,8,6,3,0376,1,734,4365
201102,9,17,3,0762,0,683,1482
199704,4,4,3,8186,0,212,1980
200911,3,2,2,1178,1,591,6154
198901,2,7,3,3302,0,574,9421
202004,6,15,5,7556,0,333,7489
200111,10,11,5,8101,0,545,1840
201112,3,2,2,8900,0,788,8732
201712,10,5,2,5627,1,152,9698
201405,4,7,3,9506,0,251,6506
199309,8,15,1,5353,1,479,1258
198803,10,7,1,7156,1,615,3681
201905,4,18,2,8379,0,960,4419
200704,5,4,5,7492,1,359,947
200404,8,20,2,1260,1,604,4286
200309,1,1,2,0267,1,471,7998
199005,10,4,5,8701,0,870,8096
201810,6,1,3,9583,1,916,3259
201204,9,4,1,9329,1,881,6753
200703,9,13,2,5518,0,897,8507
200207,6,19,5,4799,1,569,3062
198906,7,9,5,2204,1,516,3042
200209,6,13,5,3354,1,206,6255
201301,3,17,5,3608,1,843,7549
200605,1,6,5,4150,0,491,3388
198908,7,14,3,6778,0,184,4908
200112,6,13,4,1449,0,509,9971
201110,3,1,2,3821,1,781,73
201001,2,8,1,7084,1,632,4843
199011,8,19,1,2789,1,718,9793
201309,8,10,2,9714,1,97,2188
201103,6,9,4,2717,0,463,7048
201002,7,15,1,7423,1,887,5445
200002,2,2,3,8600,1,200,2749
199606,4,10,4,1297,0,372,2943
200406,4,10,2,1291,1,72,8330
200712,1,7,2,9813,1,747,8220
199308,9,15,1,7491,0,448,3573
201612,1,6,4,4772,0,588,4694
201010,4,15,1,9523,1,784,7150
